0000022e,000004bc,
00000462,00001c37,
0000122d,00001012,
0000158e,00000589,
0000158d,00000051,
00000e50,0000040d,
00000108,00001420,
00000c7e,00001ed5,
00000354,000011d3,
00000676,0000211f,
00001064,000001aa,
0000012b,0000220c,
000009dd,00000099,
000013db,000025ee,
0000136c,00000863,
00000462,000026a4,
00001327,000002f5,
00000b3a,000022cc,
00000f9a,00000c94,
000016ae,000005c3,
00000a41,00001f7a,
00000255,0000041d,
000013f3,00000c36,
00000108,00000bd5,
00000b63,00000f0c,
00000cdb,000014cb,
000013f3,00001e76,
00000307,00002606,
00000462,0000111a,
00000ff5,0000045f,
00000a70,00000d59,
0000131f,00000bbc,
000003dc,000017b0,
00000a60,00001649,
00000de4,0000243c,
000001db,0000089e,
0000015b,00000ffc,
00000cc2,000008dd,
000001f0,00001733,
00001486,00000427,
00000f3f,00000880,
00000e50,0000070d,
00001112,00000682,
00000856,0000222b,
00000529,00001525,
00000496,000002aa,
00000119,000017f2,
000016d4,000026f4,
000013ae,00001d75,
00000cdb,00000e1b,
0000122d,000026a8,
00000356,000017d2,
0000017e,00001b8d,
0000012b,00001f68,
00000070,00001a7e,
00000df7,00002312,
00000395,00001e08,
0000084e,00001770,
000003e5,000021ca,
00001319,0000064d,
0000042b,00000939,
0000159a,000012d6,
00000e50,000009f7,
00000af5,000010b1,
000003e5,00001079,
0000080a,00000055,
00001256,00000dbb,
000014c4,000026bd,
000002af,000023a7,
00001454,00000900,
00000eff,000020e0,
00001783,00002631,
0000156c,00001475,
0000056b,000011d7,
00000724,00000642,
00000f46,000010d8,
00001479,00000de7,
00000492,00001518,
000007e1,000004f0,
00000b63,00001dac,
0000037d,00002034,
0000138c,00001983,
00000f0f,00001a28,
0000038c,0000011d,
0000162f,0000023a,
0000038b,0000002c,
00000fa0,000002f5,
00000f60,00002287,
0000178d,0000139f,
000012d9,0000175e,
00001442,00000647,
00000535,00001d01,
00000de4,00001f4a,
00000eee,00001702,
0000163e,00002439,
000006a4,00000111,
0000025f,00001dd1,
00000600,0000092c,
000005c8,00001277,
000013d5,000021a6,
00000315,00002655,
00000040,000018e6,
00001277,00000ea2,
0000122d,00002588,
00000a01,00000cbc,
000009aa,00001ef0,
000012b7,00000f1b,
00000edd,00001d29,
00001425,0000009d,
00000d85,00001fcd,
00001465,000010e2,
0000029b,00000f5e,
00000c28,000020c4,
000005c9,00000032,
0000012b,000001c5,
00000529,00001281,
00000ca1,000016e1,
000008d2,000006d2,
00000348,000012e8,
00000e90,000017ca,
0000038c,00002105,
00000c64,00000e16,
00001495,00001184,
00000343,00000413,
00001481,0000114a,
0000088f,00002351,
00000774,000010ec,
00000253,00001794,
00000899,000022e4,
000010a6,00000d98,
0000026c,00002196,
00000c45,000001c0,
0000122d,000023f3,
0000152a,000016ee,
000007d0,00002308,
00000e6c,00000276,
0000136c,000005fe,
0000167d,00001cbd,
0000012b,000005f4,
000008cb,000015fb,
00000e5a,00001e3b,
00000783,00000588,
00001619,00000018,
00000cdb,0000091c,
00000b86,00000f52,
0000005a,00001f18,
00000d4f,0000027f,
00000c28,000021aa,
00000c9f,000019be,
00001778,00000fde,
00000163,00000c23,
00000626,00000035,
00000541,00000666,
00000500,000004b3,
0000134b,000017c0,
000007c7,000026df,
0000126b,00000e1e,
000012af,000000fb,
000015b5,00000b97,
000000e1,000012fa,
00000bba,00001f27,
00000587,00001316,
000014ce,00000fbb,
000008f8,00002699,
0000167d,000002ab,
000008f8,00002044,
00001637,000012ef,
0000088f,00000896,
000012eb,00001716,
00000d36,000012be,
00001327,00000b03,
0000079f,000011db,
00000d16,00001b25,
0000058b,000008f9,
00000c45,00000903,
00000a5a,00001641,
00000d2c,00002564,
00000462,00002425,
00000fa0,000016d9,
0000068c,00000b15,
00000a53,00001185,
00000e96,00000a0d,
0000056b,00000d95,
000000ca,00001975,
0000056b,000013b5,
0000100a,00002469,
0000013a,0000090d,
00000848,00000d9b,
00000462,000007fe,
000005c6,00000f44,
000002ef,00002200,
00000fdf,00001133,
00001235,00001fd8,
00001089,00000a27,
0000131e,000012d6,
00000f3f,00002411,
00000462,000018cc,
00000b8a,00000cd8,
00000a06,0000049f,
00000982,000014ea,
000003db,000022c3,
00000d97,000016b9,
000002ee,00000efe,
00001495,00001968,
00000f13,000018c4,
000013d9,00000b0a,
00000343,000006df,
000007f5,00001345,
00000afd,00000b75,
000016e0,00001e18,
0000122d,00001742,
00000dc6,00001197,
000005a9,00002268,
00000856,000007c7,
000013fb,00001835,
00000161,000020de,
00000018,000000ae,
0000133a,00000b7c,
00000df3,00000e87,
0000133a,00002332,
00000783,00001f66,
00001319,00000f42,
00000073,000022c3,
00000d97,000024b4,
00000e50,00000964,
00000f0c,00000a31,
000016bd,00000c46,
00000164,00002402,
0000121d,00001af0,
00001361,000024b9,
000015b5,00001906,
0000133a,00002493,
00000656,00000cb2,
00000862,00000653,
00001054,00000160,
0000058b,0000117f,
0000098f,00002455,
00000554,00002418,
00000b3e,0000163b,
0000099a,00000c68,
00000462,00002565,
00000d72,00000046,
00000770,00001707,
000013eb,0000183c,
000010cb,0000034d,
0000172e,000025d9,
000007b1,00002696,
000007c1,000007ae,
00000177,00001e70,
00001742,00002442,
00000a87,0000078a,
00001659,00000679,
000013d7,0000248b,
